class,PC1,PC2
1,3.316750812214776,1.443462634318009
1,2.209464916918847,-0.33339288708029907
1,2.5167401466103825,1.0311512962743183
1,3.757065609773205,2.7563719137107108
1,1.0089084937957156,0.8698308214172035
1,3.0502539224180785,2.1224011146341906
1,2.449089669596229,1.1748501316494744
1,2.059436871437913,1.608963068363506
1,2.510874297398987,0.9180709573337781
1,2.7536281876339084,0.7894376738336071
1,3.4797366827312097,1.3023332371235945
1,1.7547529012945877,0.611977228745632
1,2.1134623403150945,0.6757063391426185
1,3.4581568193367205,1.1306298761729383
1,4.31278390676556,2.0959755753412614
1,2.3051882008279714,1.6625517299890544
1,2.1719552737415118,2.327305336191418
1,1.8989711765627604,1.631368878642837
1,3.541985081943467,2.5183436693066445
1,2.084522204730312,1.0611379935838599
1,3.1244025351672,0.7868971056508959
1,1.0865700683322401,0.2417435513328389
1,2.5352240799037142,-0.09184062072087991
1,1.6449883412544697,-0.516278930067235
1,1.7615758722693007,-0.317148932684381
1,0.9900791016088566,0.9406673381906322
1,1.7752776281133682,0.6861751342850231
1,1.235423964309905,-0.08980704136063934
1,2.188406334451961,0.6895696206616233
1,2.256108981283707,0.191461936886666
1,2.500220025789425,1.240833834896942
1,2.677411047444014,1.4718736461032482
1,1.628579116430918,0.05270445057532401
1,1.9026908622381469,1.633060434769982
1,1.410388526595406,0.6979343246113563
1,1.9038262321944863,0.1767109510954563
1,1.3848622303748388,0.6586398536611483
1,1.12220741044131,0.11410976029688785
1,1.5021945006181912,-0.7694320064310072
1,2.5298010923718097,1.8030019760618279
1,2.5880954258544024,0.7796163041925079
1,0.6684819937541857,0.16996094061987538
1,3.070806990412007,1.1559189566098829
1,0.46220913751600673,0.33074213219227494
1,2.1013519305380153,-0.07100892095406582
1,1.1361661775610168,1.7771073929776369
1,2.726600963640802,1.1913346919571839
1,2.821339274192248,0.6462585991417045
1,2.0098508509123576,1.2470294606787602
1,2.7074913042663926,1.751967407206337
1,3.214917474773822,0.1669919949967916
1,2.8589598267172924,0.7452788039895882
1,3.5056043559232224,1.6127338560350106
1,2.224791380532172,1.8751679995630235
1,2.1469878235638657,1.0167515377576604
1,2.4693294837977873,1.3290083106496215
1,2.741517914277452,1.4365487835125146
1,2.1737409209653067,1.212199840697793
1,3.1393801518289943,1.731579115992512
2,-0.928581968921855,-3.073486163188925
2,-1.5424801378968802,-1.3814435080942278
2,-1.8362497634669401,-0.8299841230557168
2,0.03060683408667963,-1.2627861442114001
2,2.050261607576316,-1.9250326046500994
2,-0.609680827177622,-1.9080588050851865
2,0.9002278387071434,-0.7639114736096089
2,2.248507190798394,-1.8845924845501303
2,0.18338402668475584,-2.427146114703568
2,-0.8128050273520717,-0.2205139869022686
2,1.9756204987985533,-1.4032832253096115
2,-1.5722162196263,-0.8849831369082211
2,1.6576818088332896,-0.9567121974591483
2,-0.7253723880353553,-1.0636454007060931
2,2.5622271731703616,0.26019855065459585
2,1.8325675700495478,-1.2878781978605247
2,-0.8679929031954122,-2.444101185580862
2,0.37001440429478244,-2.153906975156985
2,-1.4573770449061383,-1.3833517690762587
2,1.2629308497284977,-0.7708495299701151
2,0.37615037193424083,-1.027043403355822
2,0.7620639041095995,-3.3750538099635325
2,1.0345779671651867,-1.45070973824409
2,-0.49487675568032696,-2.381243526767369
2,-2.5389770842951203,-0.08744335730498282
2,0.8353201453942981,-1.4736705514008666
2,0.78790461498971,-2.0266265224624753
2,-0.8068321559655378,-2.2338303908439103
2,-0.5580426248756813,-2.372985428849455
2,-1.1151110419194454,-1.8022471916654534
2,-0.5557228299517009,-2.6575400353922913
2,-1.34928528244373,-2.118001469784817
2,-1.5644826057199048,-1.8522145217655497
2,-1.9325556106314632,-1.55949545689862
2,0.7466659419884504,-2.3129317092207375
